model,term,estimate,std.error,statistic,p.value
eq2_persistence_trend,parent_rank,0.15416091385196973,0.0408550133482653,3.773365891178087,0.002321941900607635
eq2_persistence_trend,wave_year_fe::2016:parent_rank,0.15965501422155748,0.04661229555410011,3.425169524986287,0.00451848882846438
eq2_persistence_trend,wave_year_fe::2022:parent_rank,0.09425273266904582,0.06683488714984992,1.410232540046377,0.1819472588389634
eq2_persistence_trend,urban,0.0012519631190945086,0.015968712938407494,0.07840100350751014,0.9387030047726853
eq2_persistence_trend,female,-0.01156406414618668,0.008948033007352417,-1.2923582352327851,0.21873315860089926
eq2_persistence_trend,migration_exposure,-0.008199660230807787,0.021669596004741703,-0.37839469776056517,0.7112445857488221
eq2_persistence_trend,multigenerational_hh,-0.005628655817441573,0.013435979859893357,-0.41892410349938175,0.6821105442745051
eq3_attainment_score,parent_ed_score,0.2447590708055244,0.02211071904077616,11.069702000832466,5.4666616318314445e-8
eq3_attainment_score,urban,-0.0029716689130892273,0.061010344494139744,-0.04870762389113647,0.9618926738309564
eq3_attainment_score,female,-0.03592612082084021,0.03431906102539894,-1.0468270327749327,0.3142535140799114
eq3_attainment_score,migration_exposure,-0.020671256932620827,0.07925670089718782,-0.26081399678035655,0.7983218468785493
eq3_attainment_score,multigenerational_hh,-0.023959632472989486,0.056689358054796975,-0.4226478001361325,0.6794593343286789
eq4_upward_full_lpm,parent_ed_level::no_formal,0.6357322176991143,0.07192256639625412,8.83912031443061,7.381941539666036e-7
eq4_upward_full_lpm,parent_ed_level::primary,0.6790773132549003,0.03644946691657898,18.63065143885611,9.276895447162514e-11
eq4_upward_full_lpm,parent_ed_level::lower_secondary,0.4964472962041859,0.044597618861960564,11.131699603532633,5.116828517689987e-8
eq4_upward_full_lpm,parent_ed_level::post_secondary_non_tertiary,0.00947073772741628,0.05046504369967402,0.18766926634955944,0.8540334525471032
eq4_upward_full_lpm,parent_ed_level::tertiary,-0.4233112157080321,0.054397697196370505,-7.781785581472667,3.0229281630605752e-6
eq4_upward_full_lpm,urban,-0.010706337909195165,0.017644767811974653,-0.6067712549852478,0.5544522155700453
eq4_upward_full_lpm,female,-0.018652681855977606,0.015656761369197938,-1.1913499488261756,0.25481340467900837
eq4_upward_full_lpm,migration_exposure,-0.02724369372832273,0.026191741458175568,-1.0401635100066553,0.3172235941666116
eq4_upward_full_lpm,multigenerational_hh,-0.00283399925194668,0.010174704837897187,-0.2785338048717671,0.784983846898567
eq4_upward_lowparent_lpm,parent_ed_level::no_formal,0.6416836238210982,0.07207769925932533,8.902665185141545,6.809042849854732e-7
eq4_upward_lowparent_lpm,parent_ed_level::primary,0.7379466885163728,0.028920367388495474,25.516504635066568,1.7238099570503934e-12
eq4_upward_lowparent_lpm,parent_ed_level::lower_secondary,0.56275694777286,0.03678564701118969,15.2982751017449,1.082540316385615e-9
eq4_upward_lowparent_lpm,urban,-0.009863902556799461,0.030407888199028933,-0.32438630700814214,0.75080595308324
eq4_upward_lowparent_lpm,female,-0.05467513538051995,0.02208099303523053,-2.476117595494234,0.027812596442437786
eq4_upward_lowparent_lpm,migration_exposure,-0.020616576950007633,0.0261733296619214,-0.7876940846392166,0.4450009858181534
eq4_upward_lowparent_lpm,multigenerational_hh,0.0034022406144977035,0.02007089140317016,0.16951118643192528,0.8680039147033264
eq5_persistence_heterogeneity,parent_ed_score,0.08283525965241778,0.01315311841260657,6.2977658266213545,2.7543247446876266e-5
eq5_persistence_heterogeneity,urban,-0.08932133626871012,0.10245604319819164,-0.8718015402559158,0.39913170811592946
eq5_persistence_heterogeneity,female,0.16387604441918271,0.06142269440247095,2.6680048150507414,0.019337642792938044
eq5_persistence_heterogeneity,migration_exposure,0.05755322869051629,0.03756455371770724,1.5321153319967902,0.1494614759538712
eq5_persistence_heterogeneity,multigenerational_hh,-0.008823375307404796,0.01963344683583933,-0.44940531233152653,0.6605405158872597
eq5_persistence_heterogeneity,parent_ed_score:urban,0.02266256232772383,0.020100230719802423,1.1274777212082965,0.27992099443647517
eq5_persistence_heterogeneity,parent_ed_score:female,-0.027536847125642163,0.01273869481897545,-2.1616694266529968,0.04988121977880229
eq5_persistence_heterogeneity,parent_ed_score:wave2022,0.16076289999517732,0.04009464368422132,4.009585451396424,0.0014850389255559155
